index,gw1,gw2,gw3,s1,s2,s3,sv1,sv2,svalt1,svalt2
31,0.15438,0.03589,0.0979,4.30867,63.36144,11.68895,12.84513,257.95346,1.47564,1.26468
32,0.11974,0.14282,0.03767,9.79721,199.8466,5.10386,6.88356,38.11933,0.81998,1.68804
33,0.15853,0.03266,0.12348,5.87905,61.37755,13.30508,15.85558,31.34238,0.72385,1.32565
34,0.16226,0.12131,0.17613,18.24758,165.09943,15.8407,4.16165,64.14129,0.80604,0.7224
35,0.19613,0.02635,0.12149,1.67788,15.55703,14.47765,12.95938,146.51436,1.11785,1.95097
36,0.17707,0.10936,0.09961,3.43579,31.69926,3.05664,1.4328,290.38618,1.91681,0.98557
37,0.02285,0.08192,0.16648,3.6739,290.49786,19.94607,11.07947,69.17519,1.70201,0.82062
38,0.16412,0.15677,0.04374,15.9998,24.5087,9.46745,0.796,139.0957,1.1472,0.81536
39,0.06221,0.13947,0.04969,16.99181,127.84522,0.30324,9.85459,25.22472,0.65037,1.90124
40,0.05304,0.10435,0.004,11.95935,242.75911,16.50542,8.47258,190.58687,0.64669,0.58215
41,0.08174,0.06704,0.09997,9.55111,151.67018,3.43343,5.45625,179.53073,0.5196,1.30307
42,0.11113,0.00432,0.10595,8.56711,30.69755,17.10331,7.25266,132.12176,1.18399,1.10482
43,0.12548,0.06261,0.19959,2.00472,79.39259,7.15846,6.71729,102.33354,0.72972,1.36973
44,0.01667,0.01211,0.07618,4.08814,185.2974,2.97488,4.87889,100.28196,1.43449,1.57404
45,0.19448,0.00348,0.14247,7.10856,267.52206,10.95153,0.7231,98.1983,1.24614,0.52457
46,0.08285,0.09887,0.13274,15.38135,196.61245,4.73812,15.95578,211.78555,1.34856,1.5274
47,0.14461,0.01731,0.16312,16.24685,89.18505,15.65489,10.76135,172.84117,1.68835,1.92262
48,0.13299,0.05168,0.01369,15.97969,30.93275,8.08551,10.18656,3.86999,1.57817,1.62553
49,0.04443,0.09105,0.12252,5.47931,211.3451,0.64167,17.40622,142.43877,1.05676,1.4763
50,0.03825,0.02843,0.02734,1.85757,195.17675,4.07705,2.57825,166.69627,0.78215,0.55864
51,0.14623,0.11462,0.00393,4.06709,238.24899,16.6616,13.24342,79.49644,0.71618,1.43899
52,0.1728,0.16114,0.0634,16.92712,243.15776,9.58572,2.77578,135.71508,0.72252,1.54165
53,0.07895,0.1572,0.18806,19.72446,256.95225,7.88374,9.14726,219.52252,1.40182,0.78876
54,0.0229,0.14428,0.16385,19.91864,198.05788,15.6724,12.18442,182.10828,0.69197,1.43741
55,0.18265,0.18741,0.17939,6.83402,84.06747,17.4443,19.41987,152.44947,1.48264,0.54743
56,0.07204,0.1521,0.17428,19.1282,222.26189,18.93279,7.22031,48.6442,1.57927,1.43945
57,0.08318,0.03013,0.09432,16.2524,239.29445,10.30789,8.41513,153.79281,1.94084,0.51161
58,0.03753,0.19613,0.00365,2.07746,241.84906,5.63373,3.40966,75.82331,1.58491,0.83402
59,0.11761,0.12979,0.07312,16.8008,124.67027,9.30759,13.90052,120.06879,0.68846,1.00433
60,0.17128,0.114,0.09612,1.52221,51.73974,4.76679,14.7251,146.44366,1.25857,1.79013
61,0.15815,0.0137,0.13871,5.45725,184.88752,13.52436,4.18563,98.14785,1.94998,1.38539
62,0.01848,0.03188,0.02987,16.97624,151.5766,19.62665,3.44107,62.19676,1.32691,1.57814
63,0.18667,0.14667,0.0772,15.69505,25.78366,7.99717,0.28712,275.16929,1.48156,0.81611
64,0.10049,0.16284,0.14949,1.24012,208.23712,15.953,12.17359,70.18939,1.21902,1.61975
65,0.07349,0.01416,0.15573,5.5266,287.87921,2.87724,7.1913,147.06275,0.64137,1.63459
66,0.09724,0.04822,0.15716,0.42364,14.81456,14.76298,5.20838,265.79268,0.76555,1.82692
67,0.10353,0.01848,0.04758,7.96292,95.21428,0.39381,0.45438,293.80204,1.16494,1.96094
68,0.19893,0.0391,0.07165,4.22069,191.14035,15.87529,14.17967,48.21027,1.57472,1.39997
69,0.15093,0.12589,0.17436,12.25218,110.79968,3.24441,12.18593,57.36822,1.88895,0.69659
70,0.0738,0.1337,0.15713,19.96125,105.29959,7.28469,3.25107,82.21978,1.0973,1.57684
71,0.12266,0.09786,0.16566,5.57483,46.24082,2.27114,9.81207,96.02267,1.17876,1.66194
72,0.0845,0.06921,0.0019,16.68736,255.75708,14.45956,12.26241,218.97565,1.42083,1.32534
73,0.01924,0.03532,0.1048,2.81643,141.78131,11.77041,1.84124,51.96164,1.6899,1.69319
74,0.10744,0.11268,0.15229,12.34213,161.4355,13.1161,6.9062,97.73033,1.85829,1.11577
75,0.06881,0.0356,0.07197,14.07078,181.57268,12.24732,8.86707,95.91713,0.77191,1.49354
76,0.00465,0.03545,0.13517,14.04246,124.99711,2.26987,10.73912,177.19481,0.70721,0.80402
77,0.12109,0.12592,0.02925,5.97915,289.00241,6.07689,2.32557,279.37516,1.49917,0.97271
78,0.18444,0.03222,0.17023,1.0786,184.88974,14.06966,19.65372,282.828,1.09719,1.86245
79,0.05699,0.18225,0.02572,11.12858,148.38052,0.39917,4.88037,91.43292,0.54044,0.99595
80,0.16713,0.13873,0.04157,5.34358,44.42772,9.00464,6.90809,256.88825,1.53737,1.68142
81,0.11037,0.02047,0.08994,14.43028,259.5972,6.8949,2.58532,43.22137,1.27739,0.67906
82,0.00534,0.11079,0.04744,17.55234,133.33525,15.64425,4.7144,295.94194,0.79183,1.40201
83,0.07006,0.16959,0.03102,4.80585,236.16834,3.10548,2.95867,14.8861,0.65456,1.55218
84,0.11046,0.05854,0.01085,15.0297,299.98465,6.2493,3.80103,245.53373,0.84747,1.69854
85,0.00363,0.12728,0.03082,19.50483,205.42628,2.0766,10.19572,272.26203,1.10625,1.16537
86,0.14346,0.09447,0.03152,13.82792,273.82157,2.72033,14.67373,280.60784,1.88921,0.96047
87,0.03877,0.13099,0.0356,0.8553,88.1731,19.47846,15.86439,133.96602,1.74772,1.70075
88,0.14875,0.16224,0.0085,17.80307,87.63311,14.58016,13.23672,13.33694,1.78278,0.57698
89,0.12626,0.12051,0.05576,7.17025,155.31527,4.86005,16.35697,116.20573,1.84523,1.02592
90,0.07307,0.13045,0.06721,0.69647,140.94267,9.20813,1.57014,34.70045,0.53591,1.78779
91,0.12578,0.19319,0.15088,7.59859,220.64742,18.02708,7.22775,85.32733,1.0693,0.69974
92,0.10346,0.01395,0.07944,12.56898,79.33872,9.62186,10.80831,194.02383,1.02311,1.49741
93,0.17909,0.14308,0.05973,18.33045,184.54145,17.48654,12.497,9.16904,0.92248,1.46926
94,0.10421,0.19777,0.18894,10.73285,142.10269,6.05147,10.57786,150.3988,1.208,1.55813
95,0.12187,0.14378,0.02015,4.86233,113.18021,7.20736,3.76039,44.89641,1.0676,1.79406
96,0.09549,0.11998,0.1213,9.90598,29.65043,7.99705,19.70575,169.44248,0.60934,0.50697
97,0.14221,0.14793,0.17574,10.77061,185.50846,4.46962,14.22269,54.98926,1.96084,1.21581
98,0.02393,0.07617,0.02787,7.38085,158.54659,14.80587,18.0165,255.50627,0.65442,1.13983
99,0.14683,0.18187,0.07815,18.28028,78.81415,3.70728,2.96328,274.99352,1.78842,1.52509
100,0.17573,0.04623,0.18941,12.37361,43.19324,17.66182,10.1485,155.47807,1.48668,0.66522
101,0.10429,0.14538,0.02229,19.20093,78.67864,0.97429,19.45413,13.51288,1.15091,1.13557
102,0.13642,0.16469,0.18079,8.01553,232.27855,9.3465,9.275,54.15573,0.74724,0.95031
103,0.08768,0.17851,0.02761,2.3843,144.40182,12.83307,18.03549,5.01828,1.57595,1.03019
104,0.19438,0.17011,0.15226,0.69511,269.5485,3.65976,1.54449,263.49966,0.51357,1.60683
105,0.07367,0.17172,0.04422,8.54543,162.22995,10.22892,4.15948,110.32167,0.77548,1.46901
106,0.12492,0.12063,0.08897,13.37659,18.88442,10.81943,8.58261,162.18694,1.45518,1.90286
107,0.0524,0.01949,0.0362,3.93313,121.29195,13.93053,7.86101,220.99233,0.79488,0.81674
108,0.13659,0.1843,0.14548,11.81831,37.46442,10.18182,1.38236,148.76122,1.19575,1.25077
109,0.17544,0.06371,0.18892,17.17103,207.19163,4.74306,15.20817,197.40059,1.66748,1.28124
110,0.04921,0.033,0.18605,0.56995,141.21008,10.52553,8.39771,95.29524,1.40938,0.96019
111,0.02938,0.0888,0.1601,5.45922,122.90251,19.54654,10.1829,39.90504,1.10197,1.26739
112,0.16525,0.17337,0.12558,6.2655,180.82706,8.51887,14.19094,51.48019,1.66556,1.65384
113,0.09362,0.02595,0.04938,5.9299,99.71598,11.32437,16.84449,258.45394,1.68887,1.75445
114,0.0683,0.13152,0.02788,16.78742,159.75882,16.4546,11.50851,171.46284,1.51821,1.23794
115,0.1868,0.16805,0.19925,9.99322,251.11757,9.84876,18.00721,269.11243,1.85892,1.21585
116,0.09143,0.16001,0.04696,8.17972,207.27333,0.32606,7.62032,49.85737,0.71432,0.82664
117,0.09936,0.09889,0.12324,0.65096,241.74394,6.35011,10.48274,288.80332,0.68108,0.83874
118,0.01014,0.16969,0.16256,0.20865,186.96317,9.44986,1.58324,103.87615,1.96252,1.39915
119,0.02467,0.02746,0.19849,3.92093,197.61374,17.41138,9.09969,272.43773,1.1095,1.83774
120,0.10805,0.06407,0.14151,12.36246,7.49965,13.96221,14.0262,47.90672,1.30179,1.58339
121,0.0119,0.08896,0.18474,8.34456,214.06167,0.68925,5.23461,133.3685,1.71607,1.37931
122,0.0608,0.17492,0.15702,4.0867,55.17833,7.25909,4.74137,222.57274,1.55465,1.10996
123,0.07624,0.08326,0.19572,10.46215,185.92304,7.07102,10.13893,124.94681,1.85946,1.61714
124,0.12219,0.0636,0.12648,19.59916,55.57234,9.81092,10.99145,175.57582,1.72324,1.39383
125,0.16494,0.13857,0.16196,9.37315,225.64702,7.58469,6.23401,284.01808,1.74934,1.56621
126,0.0374,0.02733,0.03587,14.6972,294.90121,3.83019,5.46709,30.94015,1.02293,1.07275
127,0.15759,0.05759,0.15155,0.47494,36.67812,10.86002,5.71352,224.64243,1.5302,1.91117
128,0.06297,0.17422,0.07658,13.85161,247.3549,11.16614,7.34322,227.1933,1.98288,1.13841
129,0.15453,0.05377,0.18243,7.22736,16.25309,5.71053,13.76627,215.64369,1.25826,1.10661
130,0.18307,0.04364,0.0435,13.84059,125.33724,18.5235,14.22384,261.96296,1.89454,1.63122
131,0.04603,0.03472,0.13057,18.2148,39.44996,4.60279,4.09205,11.8484,0.94527,1.30361
132,0.19824,0.0218,0.04527,10.35149,128.39633,19.00876,10.73389,250.76711,1.78951,1.54626
133,0.06298,0.15301,0.18535,11.26484,261.60816,14.38963,14.81036,165.78095,0.62904,1.62897
134,0.17724,0.09562,0.03556,5.02795,17.71106,16.25291,7.57162,5.7353,1.2133,1.28817
135,0.13903,0.06165,0.06235,10.21911,54.65569,8.6821,17.52933,219.70248,1.04209,1.33228
136,0.01185,0.15885,0.11028,8.09643,49.96319,2.50618,11.75884,88.01671,1.17807,1.14093
137,0.04116,0.11047,0.12926,2.12754,110.07971,16.55968,15.68455,270.37818,1.28794,1.55762
138,0.17197,0.0925,0.1244,0.94387,59.74516,9.57353,5.22218,190.88305,0.51829,1.9498
139,0.13249,0.19277,0.15197,9.84302,44.21423,9.99524,13.81226,64.21852,1.08561,1.3461
140,0.17468,0.0948,0.11371,0.13411,110.25367,16.9754,7.98307,224.94619,0.77053,1.19554
141,0.14503,0.01651,0.00854,19.82949,135.64249,3.91963,10.0528,133.80733,1.08397,0.85067
142,0.0193,0.07591,0.12777,3.89556,105.82289,11.41355,0.34768,272.06396,1.22258,0.91036
143,0.00537,0.1058,0.11781,15.12147,195.91482,8.3851,19.17233,21.73279,1.58464,1.32336
144,0.03723,0.16508,0.00913,15.974,194.62698,16.02789,9.71421,197.26777,0.99836,1.96949
145,0.05595,0.08175,0.16455,4.65588,293.1239,4.30143,12.53487,136.55142,0.80048,1.60244
146,0.13499,0.04541,0.05806,0.21916,113.15792,17.22941,12.32902,168.18678,1.66257,1.03328
147,0.11452,0.01631,0.0638,18.80633,208.68304,11.96432,12.35307,251.94152,1.16183,1.5642
148,0.07608,0.06441,0.11165,1.22885,122.85414,15.85316,1.69075,209.45597,0.54545,1.18088
149,0.05762,0.08465,0.01412,17.18207,144.30833,5.96403,18.99259,37.59612,1.50514,1.66039
150,0.04133,0.16112,0.06392,2.32399,253.00496,0.95251,7.45186,15.23789,1.0749,1.9258
151,0.06686,0.09177,0.10955,7.4184,132.01445,2.17442,9.66458,125.07263,1.53991,1.64788
152,0.07354,0.19718,0.16252,17.27564,245.57617,17.40671,11.57007,261.64664,0.7519,1.46905
153,0.04132,0.11802,0.17168,3.37027,220.95097,19.13065,19.34665,29.34061,1.90636,0.50427
154,0.12099,0.17413,0.00691,9.77809,82.53524,3.65682,6.78919,28.53011,0.73295,0.50687
155,0.01353,0.09758,0.0656,6.22566,82.87756,5.35186,16.10234,53.18461,1.55186,0.8347
156,0.14656,0.06819,0.16426,8.1039,207.39827,0.87382,7.34622,222.75508,1.08109,0.57165
157,0.14703,0.11335,0.03523,9.8902,246.66377,18.70989,19.29627,195.34694,1.56282,0.59611
158,0.11844,0.09511,0.01939,4.67961,98.96337,16.34963,18.05038,8.81279,1.09042,1.61519
159,0.14366,0.04266,0.07796,17.23022,292.37544,8.69336,1.79621,6.13801,0.98136,1.56168
160,0.14292,0.02572,0.03032,0.50435,207.92851,0.11392,0.6607,174.25875,1.56282,1.58762
161,0.1554,0.09928,0.13885,19.55055,52.10469,2.65588,0.05996,292.78799,0.73615,1.82141
162,0.13713,0.07954,0.15656,6.05246,32.52264,16.86853,1.4163,247.82912,0.73451,1.3412
163,0.15978,0.00691,0.02375,3.56639,181.22065,15.10697,18.67734,110.2337,1.77807,0.72236
164,0.11821,0.00299,0.18325,12.71082,71.4431,8.37545,18.06637,289.37532,0.8148,0.8905
165,0.17208,0.12608,0.02146,12.07176,118.39835,1.0931,11.31534,248.87591,1.67482,1.48373
166,0.089,0.04943,0.01248,7.40251,62.11677,4.01165,11.64474,253.90749,1.25943,1.21326
167,0.07821,0.17522,0.16746,0.87091,231.2228,10.39905,4.1708,72.84734,1.85994,1.73077
168,0.05694,0.16841,0.13647,6.3751,186.20077,9.29335,8.98362,59.38641,1.68533,0.57837
169,0.01997,0.07427,0.16521,14.54988,200.6127,0.50736,8.21171,43.42013,1.34309,1.77713
170,0.08726,0.16775,0.1313,2.81518,279.48634,7.27575,17.45701,166.02534,1.55635,0.85203
171,0.13556,0.03938,0.05425,8.66219,99.85159,9.36332,13.20175,103.15174,1.68948,1.50595
172,0.05089,0.06799,0.03362,14.85542,258.41845,1.6664,4.64477,59.8977,1.26844,1.48993
173,0.06859,0.1747,0.19655,16.33055,31.41183,3.86763,2.28968,242.32042,1.75202,1.19476
174,0.12745,0.18553,0.07934,2.37005,261.84519,19.70167,0.42161,171.61049,1.45839,0.54745
175,0.13652,0.17706,0.05612,3.1573,224.23644,7.44515,19.40139,204.57382,1.23086,0.60735
176,0.07069,0.00533,0.14038,12.11315,138.43672,4.61129,4.97845,57.58689,1.34448,0.93488
177,0.10169,0.15955,0.04146,8.04291,19.70384,19.74149,10.55361,81.33394,1.72918,0.9384
178,0.08297,0.10025,0.02973,0.82288,218.59831,12.50181,0.25983,44.01129,1.79027,1.56931
179,0.14871,0.13158,0.07713,11.33513,190.91627,6.54064,13.37175,93.74877,1.06663,0.62175
180,0.02985,0.15609,0.18754,5.74485,46.60323,16.03561,3.63757,209.80285,1.3156,1.22334
181,0.14651,0.15292,0.0817,10.69651,289.99938,8.98178,6.85644,283.44139,1.10837,1.37365
182,0.10356,0.17004,0.04127,12.81937,4.26432,9.37426,9.60674,279.82552,0.7467,0.88296
183,0.06719,0.12669,0.1252,0.6967,160.10107,5.22158,13.40102,292.27595,1.19404,1.70791
184,0.1852,0.04316,0.13891,12.76055,159.96035,7.09048,14.12689,203.01931,1.16785,1.72502
185,0.19471,0.14501,0.01751,6.8967,14.14417,18.34633,19.53222,179.70664,1.62543,0.7123
186,0.11235,0.11224,0.15091,14.51592,96.95749,12.74431,1.00437,10.59487,0.92166,1.44535
187,0.02128,0.15984,0.17513,18.31732,258.24011,0.58408,0.37986,227.64234,0.65596,1.1197
188,0.13474,0.14882,0.12124,14.85891,275.35574,8.66156,12.1763,268.66605,0.78576,0.71438
189,0.18621,0.12898,0.14617,16.5721,192.3917,6.7552,16.99092,21.0031,1.22002,1.11284
190,0.05776,0.03442,0.11581,2.22197,188.30102,12.55339,16.13787,254.24852,1.62324,1.2459
191,0.02446,0.09175,0.17731,6.58911,50.08105,1.30364,5.03663,154.18626,0.82222,1.63249
192,0.17023,0.10968,0.00672,5.6994,271.24171,10.6293,14.43509,45.7147,1.15427,1.80367
193,0.13942,0.17862,0.01745,9.59829,75.58115,8.18216,4.59825,22.90314,1.78546,1.51606
194,0.18003,0.18955,0.05182,0.6046,221.83122,5.33975,19.4804,88.46203,1.93116,0.50707
195,0.18843,0.02681,0.09655,8.30795,161.83108,3.36901,11.43138,273.64571,1.38069,0.82128
196,0.10375,0.14546,0.1205,14.87458,100.34454,0.99594,19.60503,231.58907,1.17884,1.58825
197,0.13928,0.16712,0.1616,11.71624,183.58419,3.02945,11.13615,137.25828,1.86165,1.62582
198,0.08686,0.03543,0.14349,7.62524,22.55709,19.21749,9.36962,2.38185,1.23439,0.55384
199,0.17491,0.09057,0.16124,13.92563,35.21506,16.35847,15.57009,234.33341,0.59081,1.88721
200,0.13136,0.14708,0.18737,15.84528,15.33017,12.87274,8.71381,242.75805,1.75349,1.24765
201,0.01926,0.07352,0.17641,4.20333,227.88214,1.00269,14.97279,274.21625,0.97031,1.41249
202,0.05939,0.07496,0.07463,4.23816,122.2496,9.27571,19.12788,144.8655,0.81404,0.77258
203,0.06007,0.18027,0.04884,16.0948,159.27553,5.92514,19.35031,273.87491,0.62471,1.75584
204,0.06736,0.06242,0.12704,13.88936,57.10823,0.47067,17.35682,141.68806,1.53701,0.79593
205,0.02446,0.01528,0.15446,3.26002,161.97656,12.82459,3.29305,121.87141,1.4179,1.67296
206,0.11832,0.19914,0.0899,8.56871,53.72476,12.81247,9.02985,277.7499,1.9411,1.8235
207,0.09797,0.15624,0.11837,14.11274,272.32702,8.65676,12.12786,56.60179,1.32889,0.91987
208,0.02163,0.08318,0.01783,16.56065,146.67656,17.57032,14.3563,46.42816,1.79494,1.38788
209,0.05955,0.01799,0.18551,4.21846,180.88719,19.33397,5.64807,164.02018,1.13796,1.80769
210,0.12579,0.16484,0.14997,15.12196,295.18505,19.81158,17.26656,184.98943,0.59945,1.99774
211,0.01562,0.06175,0.04768,0.08433,28.77561,0.8169,11.15695,165.917,1.5292,0.74079
212,0.03452,0.04995,0.00868,2.90763,97.40648,5.98607,17.7835,151.25636,1.15389,1.05919
213,0.14184,0.04387,0.01374,15.16172,81.61817,15.3144,8.47453,10.75632,1.29649,1.47038
214,0.11932,0.00635,0.0406,15.48713,160.60672,2.81641,12.91157,84.61333,1.18392,1.5467
215,0.10335,0.11883,0.06039,19.30616,77.0489,9.46986,14.57301,27.52175,0.72704,1.56022
216,0.10754,0.03396,0.13018,4.29868,65.99149,16.66116,19.27068,181.00453,1.9884,1.22374
217,0.05258,0.12946,0.06555,0.18864,125.59294,19.92944,12.76599,147.31284,0.65683,0.82164
218,0.13355,0.01379,0.16284,5.73391,113.49872,6.32457,3.67331,34.29254,0.80631,0.96498
219,0.00661,0.07573,0.13537,14.12871,7.26571,10.24192,16.17194,23.03326,0.62631,0.51618
220,0.13717,0.00299,0.12219,6.69612,269.41864,2.49457,19.22509,214.97556,1.37618,0.56968
221,0.11725,0.17255,0.093,8.66682,4.70709,12.06373,11.84222,23.65972,1.21809,1.00376
222,0.11223,0.17462,0.15882,13.23957,32.45861,14.73833,4.78564,228.45443,0.54183,1.09451
223,0.02883,0.13108,0.15429,18.61924,119.24521,13.43443,4.82151,190.0971,0.98284,1.26968
224,0.02645,0.11113,0.09785,15.82536,255.9156,15.80141,13.18409,92.23565,0.51969,1.16267
225,0.10938,0.06613,0.17797,0.65932,148.34346,8.96631,4.50119,102.3283,1.69431,0.7603
226,0.11365,0.07053,0.0035,17.53396,180.90793,0.32184,16.78079,256.58228,0.86571,1.04023
227,0.1633,0.10214,0.1667,6.02845,295.98941,11.32173,13.7103,91.97501,1.99899,0.95976
228,0.07171,0.04523,0.03302,6.61194,44.86078,4.39077,5.16304,294.83237,0.92736,0.95966
229,0.11889,0.16978,0.14795,3.78774,134.03983,18.96257,15.32982,130.16154,0.86877,1.61148
230,0.13538,0.0347,0.07609,17.33356,128.62102,8.46299,15.8149,97.62639,1.10055,1.78605
231,0.01903,0.11661,0.15323,9.68108,146.70371,9.70832,1.63031,205.23738,1.63294,1.84623
232,0.14626,0.09511,0.1961,9.86234,34.04585,0.44361,5.28525,159.18017,1.72033,1.94473
233,0.14357,0.15536,0.05265,17.91437,111.90661,9.26986,12.67553,29.50275,1.54267,0.9235
234,0.17628,0.0538,0.09325,12.82832,2.92901,12.51412,7.83593,186.23944,0.75197,0.6719
235,0.08429,0.1513,0.15833,10.5508,75.07874,17.90976,12.26918,14.31892,0.71198,0.97564
236,0.04454,0.1553,0.13745,18.43957,205.91001,5.5229,3.97824,203.27598,0.8897,1.88162
237,0.13744,0.18204,0.16214,6.70018,255.6443,10.89122,14.84691,238.8028,1.80274,0.88268
238,0.19282,0.08092,0.08181,19.89601,38.08801,0.58158,5.0729,100.12404,0.57114,0.80067
239,0.11562,0.1161,0.05057,11.44465,51.19309,18.45567,3.05539,60.17462,0.96999,1.02337
240,0.04829,0.16906,0.17177,17.56896,84.44319,19.17703,11.61858,270.67291,1.35234,0.82805
241,0.06882,0.12936,0.19679,12.16013,6.09009,19.01575,19.30205,147.06205,0.74076,1.98606
242,0.12656,0.19,0.13081,6.7425,150.15543,4.04488,14.7716,189.42844,1.41748,0.61226
243,0.13565,0.09967,0.05517,7.66489,185.19724,4.8321,12.26128,11.21548,0.53788,1.82645
244,0.12924,0.01086,0.16861,18.22938,194.67066,5.93821,15.69354,156.15394,1.25488,1.77895
245,0.13431,0.08477,0.1626,6.1822,238.29708,15.44375,1.80948,92.19569,0.73125,1.58555
246,0.11671,0.05984,0.14181,3.74544,77.9872,2.41073,16.25662,80.65683,0.63103,1.74839
247,0.08871,0.04906,0.14731,16.27925,1.06948,9.62877,9.99594,42.78617,1.41249,0.91194
248,0.12073,0.02782,0.01249,18.53985,90.2645,7.95305,11.82029,259.79929,0.8722,1.68649
249,0.07621,0.02308,0.12592,13.84113,15.17448,14.50391,15.18431,222.99799,1.44715,0.5989
250,0.05225,0.14416,0.06752,16.3244,140.4472,1.49142,4.92515,213.19266,1.52473,0.511
251,0.19062,0.10291,0.14424,13.72576,39.41571,4.38187,10.04878,249.73542,1.6963,1.9156
252,0.11795,0.16843,0.01471,13.98603,132.90935,18.77165,1.34009,35.18713,1.4016,1.30822
253,0.16503,0.19525,0.04535,14.59584,54.74736,18.42689,1.89675,195.25806,1.95583,1.94928
254,0.09911,0.0828,0.1491,13.63638,182.0046,18.2353,8.09221,269.6145,1.28677,1.76044
255,0.13652,0.05909,0.02741,10.83455,58.81372,14.56487,3.00497,60.25937,0.7556,0.71212
256,0.10168,0.12073,0.00785,0.44865,142.46338,14.92348,19.44579,130.73383,1.55713,0.53544
257,0.04596,0.13385,0.11281,8.85167,58.11559,13.0198,3.79994,184.63971,1.96501,1.54939
258,0.06966,0.16197,0.13057,1.69858,91.35812,9.57721,7.20702,170.57868,0.97924,0.60237
259,0.15615,0.07978,0.00341,14.79709,293.77783,15.90455,19.40214,208.08571,1.26211,0.50001
260,0.02027,0.17509,0.01532,1.14559,167.76423,8.55609,0.8811,42.91672,1.32917,1.41287
261,0.16299,0.1448,0.14781,16.73622,178.52953,11.87381,13.49456,278.68617,1.41659,1.31222
262,0.02138,0.19933,0.10159,10.48831,204.12858,4.10326,14.8932,168.94872,0.79401,1.63683
263,0.12436,0.07659,0.04491,17.69697,104.20618,11.10074,11.74682,202.90197,0.61097,1.54863
264,0.01578,0.12224,0.14187,12.37789,167.53005,3.6223,15.80633,268.61568,0.99443,1.9081
265,0.19414,0.17901,0.01662,13.99115,19.51235,13.30516,10.88086,292.68692,1.28772,0.68462
266,0.13088,0.15955,0.14456,2.11837,72.1022,15.58728,14.9134,273.71195,0.50331,1.4692
